name,band,chip,telescope,readout,exptime,jd,date,field,filename,flat,dark,tdiff_flat,tdiff_dark,zp,zperr,maglim5,maglim3,savename,Unnamed: 0,raw_filename
AT2024abla-20241119-g-0001,g,-1,B&C,500KHz,300,2460634.0888502314,2024-11-19T14:07:56.66,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_g_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,54.911149768624455,55.07635127333924,25.0,0.0514,18.196,18.7641,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241119-g-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241119/AT2024abla-0003_g.fit
AT2024abla-20241119-i-0001,i,-1,B&C,500KHz,300,2460634.096075116,2024-11-19T14:18:20.89,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_i_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,54.9039248842746,55.06912638898939,25.0006,0.0153,18.157,18.7245,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241119-i-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241119/AT2024abla-0003_i.fit
AT2024abla-20241119-r-0001,r,-1,B&C,500KHz,300,2460634.0924619213,2024-11-19T14:13:08.71,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_r_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,54.90753807872534,55.072739583440125,24.9996,0.0338,18.6115,19.1744,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241119-r-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241119/AT2024abla-0003_r.fit
Autosave_Image-20241121-g-0001,g,-1,B&C,500KHz,300,2460635.9515600693,2024-11-21T10:50:14.79,Autosave Image,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_g_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,53.04843993065879,53.21364143537357,25.0004,0.0047,19.4473,20.0101,/home/users/zgl12/MOA_size/BC_Pouakai/cal/Autosave_Image-20241121-g-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241121/AT2024abla -0003_g.fit
Autosave_Image-20241121-i-0001,i,-1,B&C,500KHz,300,2460635.9587819446,2024-11-21T11:00:38.76,Autosave Image,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_i_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,53.04121805541217,53.20641956012696,24.9998,0.003,18.4554,19.0295,/home/users/zgl12/MOA_size/BC_Pouakai/cal/Autosave_Image-20241121-i-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241121/AT2024abla -0003_i.fit
Autosave_Image-20241121-r-0001,r,-1,B&C,500KHz,300,2460635.955170833,2024-11-21T10:55:26.76,Autosave Image,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_r_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,53.04482916649431,53.2100306712091,24.9998,0.0041,19.0536,19.6086,/home/users/zgl12/MOA_size/BC_Pouakai/cal/Autosave_Image-20241121-r-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241121/AT2024abla -0003_r.fit
AT2024abla-20241121-g-0001,g,-1,B&C,500KHz,300,2460636.0392439817,2024-11-21T12:56:30.68,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_g_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,52.96075601829216,53.12595752300695,24.9997,0.039,19.3304,19.8844,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241121-g-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241121/AT2024abla-0002_g.fit
AT2024abla-20241121-i-0001,i,-1,B&C,500KHz,300,2460636.046469213,2024-11-21T13:06:54.94,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_i_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,52.95353078702465,53.11873229173944,24.9998,0.0033,18.3889,18.9236,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241121-i-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241121/AT2024abla-0002_i.fit
AT2024abla-20241121-r-0001,r,-1,B&C,500KHz,300,2460636.042855787,2024-11-21T13:01:42.74,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_r_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,52.95714421290904,53.12234571762383,24.9994,0.0044,18.9846,19.529,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241121-r-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241121/AT2024abla-0002_r.fit
AT2024abla-20241122-g-0001,g,-1,B&C,500KHz,300,2460637.111895255,2024-11-22T14:41:07.75,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_g_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,51.88810474518687,52.05330624990165,25.0001,0.0086,17.3852,17.9469,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241122-g-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241122/AT2024abla-0003_g.fit
AT2024abla-20241122-i-0001,i,-1,B&C,500KHz,300,2460637.1082392363,2024-11-22T14:35:51.87,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_i_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,51.89176076371223,52.05696226842701,25.0,0.0048,18.1113,18.6685,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241122-i-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241122/AT2024abla-0002_i.fit
AT2024abla-20241122-r-0001,r,-1,B&C,500KHz,300,2460637.1046274304,2024-11-22T14:30:39.81,AT2024abla,,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2460689_100d_r_500KHz.fits.gz,/home/phys/astronomy/rri38/fli/data/master/dark/master_dark_20250113_300.fits.gz,51.895372569561005,52.06057407427579,25.0001,0.0062,18.6267,19.1793,/home/users/zgl12/MOA_size/BC_Pouakai/cal/AT2024abla-20241122-r-0001_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/octans/20241122/AT2024abla-0002_r.fit
